01.02.25,Adventurer's Zeta-Jones,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN39501%2F03&R=122,13.08.03,2003,Schwarz,Heavy Loader's and The Band Played,Santtomin My Choice,1,15.03.15,11J 7M,Epilepsie
01.10.23,Aika vom Steindammer-Forst,http://www.k9data.com/fivegen.asp?ID=1107913,04.04.17,2017,Braun,Ibsen Luruper Brun Gammel Dansk,Chica vom Ahrensböker-Forst,1,,,
01.03.25,Alexsinas Yum-Yum,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FI21429%2F20&R=122,23.02.20,2020,Gelb,Occhi Dolci Bolero,Mouldhill's You Got It,1,10.02.25,5J,Epilepsie
01.10.23,Alsnäsets Hagla's Midnattssol,http://www.k9data.com/fivegen.asp?ID=1151907,26.05.16,2016,Gelb,Labbaslyckorna's Abbe,Alsnäsets Hagla,1,,,
01.10.23,Amamus Pica-Pica,http://www.k9data.com/fivegen.asp?ID=1151891,21.03.91,1991,Schwarz,Flaxdale Jigger,Iliadens Reitia,1,,,
01.10.23,Ambra vom freien Blick,http://www.k9data.com/fivegen.asp?ID=552229,28.02.12,2012,Gelb,Jägermeister vom Hülser Bruch,Orla vom Döllnitztal,2,,,
01.10.23,Anthony Kenneth from Grannies Garden,http://www.k9data.com/fivegen.asp?ID=1143295,31.10.19,2019,Gelb,Silent Worker's Chief Casey,Magic Star of Hanging Rock,1,,,
01.08.24,Aprilmist Feat Wandoris,http://www.k9data.com/fivegen.asp?ID=919378,29.09.15,2015,Braun,Chablais Sable Blue Caramelo,Okrados Ballad of Passion,2,08.07.16,10 M,Während eines Anfalls
01.02.25,Aprilmist Flatliner,http://www.k9data.com/fivegen.asp?ID=919383,29.09.15,2015,Braun,Chablais Sable Blue Caramelo,Okrados Ballad of Passion,2,17.09.16,1 J,Epilepsie
01.10.23,Armani Damon vom Asbrookdamm,http://www.k9data.com/fivegen.asp?ID=528906,03.01.08,2008,Schwarz,Gowanvale Balance,Crazy Clara von den Vierzehn Erlen,1,,,
01.10.23,Aslan vom freien Blick,http://www.k9data.com/fivegen.asp?ID=552231,28.02.12,2012,Gelb,Jägermeister vom Hülser Bruch,Orla vom Döllnitztal,2,03.01.18,5J 10M,
01.10.23,Batmoors' Apollo Lurgan,http://www.k9data.com/fivegen.asp?ID=1108764,06.04.17,2017,Schwarz,Waysgreen Apollo,Astraglen Inca,1,,,
01.10.23,Bjäragårdens Timmy-Willie,http://www.k9data.com/fivegen.asp?ID=881722,22.03.91,1991,Schwarz,Rambo of Downfarm,Skyfly's Painted-Lady,1,,,
01.10.23,Black Bet's Gillie,http://www.k9data.com/fivegen.asp?ID=564747,15.07.00,2000,Schwarz,Shamila's Coming Charm,Black Bet's Barbara,1,01.01.02,1J 5M,Epilepsie
01.10.23,Blacky vom Alstätter-Moor,http://www.k9data.com/fivegen.asp?ID=564778,07.06.92,1992,Schwarz,Lawnwoods Wish Me Luck,Asta vom Alstätter-Moor,1,,,
01.10.23,Brookhill's Crabman,http://www.k9data.com/fivegen.asp?ID=564829,16.08.95,1995,Gelb,Narjana's Ian,Brookhill's Adamant Auntie,1,01.10.01,6J 1M,Epilepsie
01.10.23,Bundy vom Hof Ibn Safinaz,http://www.k9data.com/fivegen.asp?ID=564832,23.05.94,1994,Schwarz,Lawnwoods Wish Me Luck,Sunshine Queen's Fame,1,,,
01.10.23,Cameia (S44761/2005),http://www.k9data.com/fivegen.asp?ID=1362450,29.05.05,2005,Gelb,Duvkullans Cello,Grebulons Nori,1,,,
01.02.25,Cannonpowder Chocolate Brownie,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FI42666/20&R=122,16.07.20,2020,Braun,Mallorn's Tabasco,Macita's Bird Of Passage,1,07.02.22,1J 7M,Epilepsie
01.02.25,Cannonpowder Penelope,http://www.k9data.com/fivegen.asp?ID=1075287,15.01.07,2007,Gelb,Jummi-Jammin Mötley Crue,Cannonpowder Cleopatra,1,25.06.19,12J 5M,Epilepsie
01.10.23,Caper Cailie's Ohio,http://www.k9data.com/fivegen.asp?ID=632641,25.04.12,2012,Schwarz,Levenghyl Baccarat at Lochmuir,Caper Cailie's Arrieta,1,,,
01.02.25,Captain,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN25612/05&R=122,26.04.05,2005,Gelb,Loresho Liberty,Caiseon Diana,1,12.12.14,9J 8M,Epilepsie
01.02.25,Caronina's Casper,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FI10498/12&R=122,18.11.11,2011,Braun,Rantakankaan Kusti Urmas,Birkitta (FIN15620/07),1,11.03.15,3J 4M,Epilepsie
01.10.23,Carson vom Stecknitztal,http://www.k9data.com/fivegen.asp?ID=564860,16.05.04,2004,Schwarz,Come Fast Finnegan,Anna vom Stecknitztal,1,,,
01.02.25,Cercei (FI40659/18),https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FI40659/18&R=122,19.06.18,2018,Gelb,Mallorn's Enterprise,Cannonpowder Voulez Vous,1,20.11.22,4J 5M,Epilepsie
01.10.23,Charway Rainstorm,http://www.k9data.com/fivegen.asp?ID=564889,01.04.03,2003,Schwarz,Endacott Stoer of Quabrook,Charway Ballyapril,1,28.12.11,8J 8M,Epilepsie
01.10.23,Chilihunters Game Glen,http://www.k9data.com/fivegen.asp?ID=441181,16.02.06,2006,Schwarz,Gameflight Goss,Nidaros Chili,1,,,
01.10.23,Chilihunters Over Bridge,http://www.k9data.com/fivegen.asp?ID=886592,27.10.07,2007,Schwarz,Mandylike's Overtop,Jyckegårdens Clever Cittra,2,20.01.20,12J 2M,"Unbekannt, plötzlich zuhause gestorben"
01.10.23,Chilihunters Over Trouble,http://www.k9data.com/fivegen.asp?ID=886594,27.10.07,2007,Schwarz,Mandylike's Overtop,Jyckegårdens Clever Cittra,2,25.08.19,11J 9M,"Andere Krankheit,nicht näher bezeichnet"01.10.23,Chilihunters Pro Hazy,http://www.k9data.com/fivegen.asp?ID=886595,03.03.08,2008,Schwarz,Proletariat Aureole,Chilihunters Finbreeze,1,20.11.15,7J 8M,"Andere Krankheit,nicht näher bezeichnet"
01.10.23,Cliff vom Zwillbrocker Venn,http://www.k9data.com/fivegen.asp?ID=1014988,11.06.16,2016,Schwarz,Saxaphone John Smiths,Almond of the Spring Cottage,1,,,
01.10.23,Cosmic Cover's Mill's Jaywalker,http://www.k9data.com/fivegen.asp?ID=1298448,16.03.17,2017,Schwarz,Brackenbird True Grit,Broadlaw Millie,1,,,
01.10.23,Cosmic Cover's Win Call to Find Out,http://www.k9data.com/fivegen.asp?ID=1206103,11.05.18,2018,Gelb,Drakeshead Calico,Cosmic Cover's Sophisticated Dust,1,,,
01.10.23,Country Companion's Choco Pie,http://www.k9data.com/fivegen.asp?ID=1165315,13.01.19,2019,Braun,Oldambster Labrador Heem Treasure,Xarabee de la Maison de Montaigne,1,,,
01.02.25,Dark Water's Endless Star,http://www.k9data.com/fivegen.asp?ID=1075279,11.04.10,2010,Braun,Älvgårdens Star Ruby,Dark Water's Attacca,1,14.04.18,8J,Epilepsie
01.10.23,Dimhöjdens Jack Af Barney,http://www.k9data.com/fivegen.asp?ID=879840,23.08.15,2015,Schwarz,Ellijas Dudley,Dimhöjdens Gemma Af Derby,1,,,
01.10.23,Dual‘s Hope Nicam,http://www.k9data.com/fivegen.asp?ID=807718,14.02.14,2014,Schwarz,Waterford Ganton,Dual's Hope Indeed,1,,,
01.10.23,Eagle Owl's Osiris,http://www.k9data.com/fivegen.asp?ID=904913,21.03.09,2009,Schwarz,Eagle Owl's Faunus,Eagle Owl's Indiana,1,06.04.18,9J,"Heftiger epileptischer Anfall, der zu schwere Schäden am Kopf verursachte."
01.10.23,Felice vom Lipperoder Bruch,http://www.k9data.com/fivegen.asp?ID=489244,01.05.06,2006,Schwarz,Mighty Mason of Mountain Forest Glade,Dame vom Lipperoder Bruch,1,,,
01.10.23,Fiin Hemuli,http://www.k9data.com/fivegen.asp?ID=517273,09.02.12,2012,Schwarz,Bökardalens Spirit In The Sky,Fiin Alice Sebold,1,11.12.16,4J 10M,Epilepsie
01.10.23,Flynn vom Hirschthürl,http://www.k9data.com/fivegen.asp?ID=365750,20.11.05,2005,Schwarz,Tasco Brimstone,Beluna von Riedenberg,2,,,
01.10.23,Frankie's Rolle,http://www.k9data.com/fivegen.asp?ID=879889,04.02.11,2011,Schwarz,Searover Kits Poseidon,H-Falks Ronja,1,,,
01.10.23,Fulmarus Dumpy Boy,http://www.k9data.com/fivegen.asp?ID=1075272,04.03.02,2002,Schwarz,Trentwith Midnight Escape,Femina (FIN12886/99),1,06.08.14,12J 5M,Epilepsie
01.10.23,Gåsalyckans Gary Cooper,http://www.k9data.com/fivegen.asp?ID=879896,04.07.04,2004,Schwarz,Pollbear Rockpool,Gåsalyckans Day Light,2,,,
01.10.23,Gåsalyckans Handsome Boy,http://www.k9data.com/fivegen.asp?ID=879925,09.12.05,2005,Schwarz,Pollbear Rockpool,Gåsalyckans Day Light,2,,,
01.10.23,Glengad Dobby,http://www.k9data.com/fivegen.asp?ID=1177768,27.02.21,2021,Schwarz,Troddenmills Full Throttle Of Leacaz,Gladline Juli,1,,,
01.10.23,Gräfin von Westerholts Kastalia,http://www.k9data.com/fivegen.asp?ID=900575,16.04.15,2015,Schwarz,Brindlebay Heron of Vilendal,Gräfin von Westerholts Gwynnifer,1,,,
01.10.23,Gwendy's Gandalf,http://www.k9data.com/fivegen.asp?ID=516088,05.01.06,2006,Schwarz,Creme-Fraiche Charming,Gwendy's Donni,1,20.06.19,13J 5M,
01.10.23,Hardrocks Blue Danube,http://www.k9data.com/fivegen.asp?ID=565019,28.03.10,2010,Schwarz,Ragweed's Travel,Benjo's Black Jolie,1,,,
01.10.23,Hh's On Duty Cronos,http://www.k9data.com/fivegen.asp?ID=1352920,11.03.20,2020,Gelb,Laichsands Ernest,Lablustrious Provocatevr,1,,,
01.10.23,Hillraisins Black Bertha,http://www.k9data.com/fivegen.asp?ID=1098800,27.12.16,2016,Schwarz,Masterkey's Fix Joel,Helga vom Eversaeler Feld,1,13.05.20,3J 4M,Epilepsie
01.10.23,Hillus Drake,http://www.k9data.com/fivegen.asp?ID=424545,10.01.05,2005,Gelb,Craighorn Oak,Broadlaw Eva,1,,,
01.10.23,Hof Sommerberg Carlos,http://www.k9data.com/fivegen.asp?ID=565049,27.01.02,2002,Schwarz,Chester of Seaport,Kyra of Hunters Heide,1,,,
01.11.24,Huels' Hunters Tucker Loyd,https://www.k9data.com/fivegen.asp?ID=1359018,30.09.23,2023,Gelb,Redneck of RoughCorner Castle,Huels' Hunters Nightingale Meghan,1,,,
01.10.23,Hunting High And Low B`mali,http://www.k9data.com/fivegen.asp?ID=881726,23.02.99,1999,Schwarz,Skyfly's Solo Oak,Greline's Dancing Henie,1,,,
01.10.23,Huntrets Gott Mos,http://www.k9data.com/fivegen.asp?ID=879927,09.02.13,2013,Gelb,Searover All In Duff,Djurbergas Farndale Moor,1,,,
01.10.23,Huntrets Gul Fetknopp,http://www.k9data.com/fivegen.asp?ID=1364685,02.04.12,2012,Gelb,Searover All In Duff,Huntrets Nefertiti,2,,,
01.10.23,Huntrets Scilla,http://www.k9data.com/fivegen.asp?ID=1101199,02.04.12,2012,Schwarz,Searover All In Duff,Huntrets Nefertiti,2,,,
01.10.23,Hypnos Spectre,http://www.k9data.com/fivegen.asp?ID=904943,22.08.15,2015,Gelb,Starcreek Efinegan,Streamlight's Dana's Grace,1,10.04.17,1J 7M,Epilepsie
