Hundename,Score,URL,EpiProgeny
"SE J(J)CH Hillus Drake",13.75,"url","Brufinn Keep Retrieving Doc, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
"NORD JCH FTCH Tasco Brimstone",12.8125,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Tealshead Bracken, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
"Mandylike's Nacre",12.25,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Blackthorn Capella",10.25,"url","Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Oliver od Himalajskeho cedru Int./DRC-/Nl./LCD-/VDH-/Slo.CH.",10,"url","Donna of Anny's Labs, Dumbledore of Anny's Labs, Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty"
"Annual's Name of the Game",10,"url","Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
"UK FTCh Aughacasla Sam of Drakeshead",8.625,"url","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Flying Flap Ears Ice Age, Frankie's Rolle, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Kingsdale Meadow Dark, Limmerhultarna's Solstorm, Lochmuir Casey, Mandylike's Porsche, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Middle River's Forest Harmony, Moorman's Lennie Mirak, Muschelsucher Clooney, Never change Gasper, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Saku (FIN46719/07), Sea-Croft Nimble, Searover Cosys Karo, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Snowy Roxy vom Windbrunnen, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Tealshead Bracken, Thorsvi Harris, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Viltv�rdarns Unika Enya, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill"
"FTCh Pocklea Remus",8.0625,"url","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, Charway Rainstorm, Chilihunters Game Glen, Chilihunters Pro Hazy, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Dual's Hope Nicam, Eagle Owl's Osiris, Frankie's Rolle, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Gr�fin von Westerholts Kastalia, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Kosta Kl�vers Bran, Labstratego Yellow River, Limmerhultarna's Solstorm, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Lochmuir Casey, Mandylike's Porsche, Mandylike's Twinkle, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Moorman's Lennie Mirak, Muschelsucher Clooney, Namusillan Tammikehr��j�, Nanni-Nadalina von der Bleiburg, Never change Gasper, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Pibiz Game Keeper, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Ravenfly Arielle, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Searover Cosys Karo, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Searover Ruffling Thea, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Sven (SE21895/2015), Tealshead Bracken, Thorsvi Harris, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Willowridge Five Star, Willowyck Unite, Winning Line's License to Kill, Zetastar Zesty Boy"
"GB FTCh Craighorn Oak",7.5,"url","Brufinn Keep Retrieving Doc, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
"FTCh Broadlaw Eva",7.5,"url","Brufinn Keep Retrieving Doc, Dimh�jdens Jack Af Barney, Frankie's Rolle, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Meadowlark Black Kite, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy"
"SE UCH DK UCH Mallorn's Diesel",7,"url","Ambra vom freien Blick, Aslan vom freien Blick, Clausi von der Aacher Haag, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
"DRC/VDH CH Suttonpark Benjamin at Rocheby",7,"url","Ambra vom freien Blick, Aslan vom freien Blick, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"Dt.Ch./Int.Ch./VDH-Ch. Warringah's Cobb BHP, JP/R, BLP, JEP",6.5625,"url","Aaron from Elderberry Grove, Aika vom Steindammer-Forst, Angel of Hope Arik, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Kleo vom Fallenbergs-Hof, Meta vom Barkendiek"
"Havanna vom H�lser Bruch",6.25,"url","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
"Aska vom Fallenbergs-Hof",6.25,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Kleo vom Fallenbergs-Hof"
"J�germeister vom H�lser Bruch",6,"url","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life"
"Excellent Flair vom Auerswalder Teich",6,"url","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
"Irish Coffee aus L�hlsbusch",6,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"Justlike Princess Lady Di",6,"url","Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat"
"Dt. Ch./Int. Ch./VDH-Ch. Lawnwoods Wish Me Luck WT BHP BLP JEP Btr F.T",5.875,"url","Aaron from Elderberry Grove, Alerich of Trickster Hero, Armani Damon vom Asbrookdamm, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Clinton vom Hembeck, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Gismo vom G?nsried, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof, Snowy Roxy vom Windbrunnen, Ulanda aus dem Burghaus, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"Int.Ch./Lux.Ch./J.W./Dt.Ch./VDH-Ch./?ster. Bundes Charway Blackjack BHP, BLP, JEP",5.8125,"url","Aaron from Elderberry Grove, Alerich of Trickster Hero, Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Cassiopeia vom Hof F?rst, Gismo vom G?nsried, Gwendy's Gandalf, Hanno vom Fallenbergs-Hof, Hardrocks Blue Danube, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Lauterrinn's Dale Sir Wesley, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"DT(DRC)-/DT.JGD.(LCD)-/LUX.JGD./DT.VDH-CH. Tekell's Precious Brave Heart",5.75,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kleo vom Fallenbergs-Hof"
"FTAW Lisdrum Orchid of Copperbirch",5.75,"url","Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
"FTCh Willowyck Ruff",5.625,"url","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Hh's On Duty Cronos, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, NIINIVUOREN MEREN-SALAISUUS, Sea-Croft Kay's Iowa, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Winning Line's License to Kill"
